date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-10-01;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-29.210000;4f1930a4-138d-41e1-84b6-3f14f68abb78;5541
2025-10-02;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-3.860000;918888d7-471a-4c28-bd53-f38753a5b322;5814
2025-10-02;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.200000;ac50bf34-3735-41f5-bf87-c9f82e6b5335;5499
2025-10-02;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;e0f19b15-7fd4-4d43-ab9c-72ba6effe42b;5499
2025-10-02;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-22.500000;d95594be-e0fd-4b75-bcd6-7c92b05dbd87;7991
2025-10-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.101723;EPARGNE;INVESTISSEMENTS;-11.54;81a38e88-c0eb-4feb-a303-e8cd1f6637de;
2025-10-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.440742;EPARGNE;INVESTISSEMENTS;-50.00;461adc9f-6bd9-4bd8-98e6-3c28124479e9;
2025-10-02;CASH;BENEFITS_SAVEBACK;Your Saveback payment;DIVERS;AJUSTEMENTS_ERREURS;11.540000;d5eb4a4b-ebbf-43d9-b414-e7c46b15714a;
2025-10-04;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-16.480000;18e21ce5-bcf4-457d-9353-c24ab99fd477;5411
2025-10-04;CASH;CARD_TRANSACTION;LE VALENCY;ACHATS;TABAC;-11.200000;4eb42ccc-3324-4bbc-b99f-94ce7399bc06;5813
2025-10-06;CASH;CARD_TRANSACTION;MAISON RINC;ACHATS;CADEAUX;-370.000000;2f56da11-5efa-4540-9b0b-09ee395295a8;5699
2025-10-06;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-26.070000;165725b5-4211-42d8-803f-1d7a237e5ff7;763
2025-10-07;CASH;CARD_TRANSACTION;AMAZON EU SARL  2090401;ACHATS;DIVERS;-17.500000;57ea6eef-cdd6-4672-a6a6-400a835967dd;5965
2025-10-07;CASH;CUSTOMER_INBOUND;PERMANENT TRADE REPUBLIC;DIVERS;AJUSTEMENTS_ERREURS;1350.000000;fce9436c-b6f0-4725-a334-dc873ec50be2;
2025-10-08;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-22.990000;99f76d8f-a264-4c2d-b579-157d2e2a4cd5;5818
2025-10-08;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;50fd94de-ffad-4bcc-9aa6-f2ddfe040a64;5499
2025-10-08;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-23.110000;8fd21fbf-4b82-4998-a27c-1c4aaa36a458;5541
2025-10-10;CASH;CARD_TRANSACTION;DCTR MARGUERITT;SANTE;MEDECIN;-35.000000;d9e01dde-3b1b-4ef3-850d-9dd194e5ea50;8011
2025-10-11;CASH;CARD_TRANSACTION;CHEZ MON VIEUX;ALIMENTATION;RESTAURANTS;-164.700000;08e7c482-b901-4e77-b4a6-6f6cd9079cad;5813
2025-10-11;CASH;CARD_TRANSACTION;EL GANA;ALIMENTATION;RESTAURANTS;-4.900000;b8841c32-56df-411f-bd98-4374fb2f5fa0;5499
2025-10-14;CASH;CARD_TRANSACTION;Association Ruban Rose;DIVERS;DONS;-1.000000;dde8b6b6-b582-44bb-882d-68adf353ef6b;8398
2025-10-14;CASH;CARD_TRANSACTION;COURIR VALENCIENNES;ACHATS;VETEMENTS;-32.000000;e795a65c-1128-40e3-af41-2a094cba2cbb;5661
